iter	Passed	Remaining
0	1	195
1	3	175
2	5	173
3	6	161
4	8	159
5	10	158
6	11	158
7	13	156
8	15	156
9	17	155
10	19	154
11	20	152
12	22	150
13	24	147
14	25	145
15	27	143
16	28	141
17	30	140
18	32	139
19	34	138
20	36	136
21	38	135
22	40	134
23	41	132
24	43	130
25	45	128
26	46	126
27	48	124
28	49	121
29	51	119
30	53	118
31	55	117
32	56	115
33	58	113
34	60	111
35	61	109
36	63	107
37	64	105
38	66	103
39	67	101
40	69	99
41	70	96
42	71	95
43	73	93
44	75	91
45	76	90
46	78	88
47	80	86
48	81	85
49	83	83
50	84	81
51	86	79
52	87	78
53	89	76
54	90	74
55	92	72
56	94	70
57	95	69
58	97	67
59	98	65
60	100	63
61	101	62
62	102	60
63	104	58
64	106	57
65	108	55
66	109	54
67	111	52
68	113	50
69	114	49
70	116	47
71	117	45
72	119	44
73	120	42
74	122	40
75	124	39
76	126	37
77	127	36
78	129	34
79	130	32
80	132	31
81	134	29
82	135	27
83	137	26
84	139	24
85	141	23
86	142	21
87	144	19
88	145	18
89	147	16
90	149	14
91	150	13
92	152	11
93	154	9
94	155	8
95	157	6
96	158	4
97	160	3
98	161	1
99	163	0
