iter	Passed	Remaining
0	1	1518
1	3	1926
2	5	1780
3	6	1560
4	7	1436
5	8	1357
6	9	1299
7	10	1257
8	11	1231
9	12	1239
10	14	1343
11	16	1376
12	18	1418
13	20	1435
14	21	1424
15	23	1461
16	25	1450
17	26	1455
18	31	1645
19	33	1648
20	36	1701
21	38	1721
22	40	1700
23	41	1669
24	42	1660
25	52	1951
26	53	1941
27	55	1916
28	57	1916
29	59	1909
30	60	1889
31	61	1868
32	63	1866
33	66	1878
34	67	1856
35	68	1839
36	71	1868
37	74	1873
38	75	1859
39	76	1838
40	77	1823
41	79	1815
42	80	1798
43	83	1820
44	85	1819
45	87	1806
46	89	1818
47	91	1809
48	93	1807
49	94	1792
50	95	1785
51	98	1787
52	99	1776
53	101	1773
54	102	1763
55	103	1748
56	104	1731
57	105	1718
58	107	1714
59	109	1708
60	115	1778
61	116	1764
62	117	1749
63	118	1735
64	119	1722
65	120	1707
66	121	1691
67	122	1676
68	123	1664
69	124	1656
70	126	1654
71	128	1653
72	129	1642
73	130	1632
74	131	1619
75	132	1607
76	133	1595
77	134	1584
78	135	1576
79	136	1567
80	137	1561
81	139	1560
82	140	1557
83	142	1551
84	143	1543
85	144	1538
86	145	1529
87	146	1521
88	147	1513
89	148	1503
90	149	1494
91	150	1486
92	152	1488
93	154	1488
94	155	1485
95	157	1478
96	158	1471
97	159	1465
98	160	1458
99	161	1452
100	162	1445
101	163	1438
102	164	1433
103	166	1431
104	168	1439
105	170	1438
106	171	1431
107	172	1424
108	174	1422
109	175	1416
110	176	1410
111	176	1403
112	177	1396
113	179	1394
114	180	1390
115	182	1389
116	183	1386
117	185	1383
118	186	1377
119	187	1371
120	188	1366
121	189	1360
122	190	1355
123	191	1350
124	192	1344
125	193	1338
126	194	1336
127	196	1338
128	198	1338
129	199	1333
130	200	1329
131	201	1325
132	203	1324
133	204	1321
134	205	1317
135	207	1317
136	209	1317
137	212	1324
138	213	1321
139	214	1316
140	215	1312
141	216	1307
142	217	1303
143	218	1299
144	219	1294
145	224	1313
146	226	1314
147	228	1314
148	229	1313
149	231	1309
150	231	1304
151	233	1302
152	235	1302
153	236	1300
154	238	1299
155	239	1295
156	240	1291
157	241	1289
158	242	1284
159	243	1279
160	244	1274
161	245	1269
162	246	1265
163	247	1261
164	249	1261
165	250	1256
166	251	1253
167	253	1253
168	254	1250
169	256	1250
170	257	1246
171	258	1242
172	259	1238
173	260	1234
174	261	1230
175	262	1227
176	263	1224
177	265	1223
178	266	1221
179	267	1217
180	268	1215
181	269	1211
182	270	1207
183	271	1203
184	272	1199
185	273	1195
186	274	1191
187	275	1188
188	276	1184
189	288	1227
190	288	1223
191	289	1219
192	290	1215
193	291	1211
194	292	1207
195	293	1204
196	294	1200
197	295	1197
198	296	1194
199	298	1192
200	299	1188
201	299	1184
202	300	1181
203	301	1177
204	302	1174
205	303	1171
206	304	1167
207	305	1164
208	306	1161
209	308	1158
210	309	1156
211	310	1154
212	311	1152
213	313	1149
214	313	1146
215	314	1142
216	315	1139
217	317	1137
218	318	1134
219	319	1131
220	319	1127
221	321	1126
222	322	1125
223	324	1124
224	325	1122
225	326	1119
226	328	1116
227	329	1114
228	330	1111
229	331	1108
230	332	1105
231	333	1103
232	334	1101
233	335	1099
234	337	1099
235	339	1098
236	340	1097
237	341	1094
238	342	1091
239	343	1088
240	344	1086
241	346	1083
242	347	1081
243	348	1078
244	348	1075
245	350	1072
246	351	1071
247	352	1070
248	354	1069
249	355	1067
250	356	1065
251	358	1063
252	359	1061
253	360	1059
254	361	1056
255	363	1056
256	365	1056
257	368	1059
258	369	1056
259	370	1054
260	371	1052
261	372	1050
262	374	1048
263	375	1045
264	376	1043
265	377	1041
266	379	1041
267	381	1040
268	382	1038
269	382	1035
